No	From	To	Tokens	TokenBalance	Block	TxIndex	TxHash
0	0x0000000000000000000000000000000000000000	0xeedda0f22244b7af24a2462907bc6bc047a23cd0	9302486	9302486	3912091	0	0x3904a45d46ee2174573b641f5ee09b77a8097a6a54dc9370fc1f9c4634384a65
1	0x0000000000000000000000000000000000000000	0x8fd7bf2142cc3819caf93cb7f282b57becbf8ba9	370997	9673483	3912104	0	0xb862be4db01f1c7ddb3d7fd371d6755348659f23f15911bd375a747c36c3bd2c
2	0x0000000000000000000000000000000000000000	0xf6336aaf4f95e80e19c068ec4365bf8dbc940e6f	2166717	11840200	3912107	0	0xffc1365ffed6d8190b815428049bff2575ffd85aee54508569f5905901c9a75a
3	0x0000000000000000000000000000000000000000	0x32d89823383a56b43ea159aa88a8c4fc3fbd4864	431377	12271577	3912152	0	0x8eae50f3184b3d8b434173fa8a69635b44684af135109bb971e5715498a61ef7
4	0x0000000000000000000000000000000000000000	0x990a2d172398007fcbd5078d84696bdd8ccdf7b2	314646	12586223	3912159	0	0x74f992f76cbd97fe09e0be53c1b9175e99084cba981f567002ca1029c78ad530
5	0x0000000000000000000000000000000000000000	0x8a53ee33d77371bacdc76cae6632c23495f669d7	478.68	12586701.68	3913144	26	0xb7b1084136431bb4956414025a71e710b4f57363ba2aaeabd2f4dac881866045
6	0x0000000000000000000000000000000000000000	0xa6bc6b41fc360364af6c2138ad9f1e4005523532	957.36	12587659.04	3913144	38	0xec7f08d8e2e47b20248559e97bc1b7f702342b5c360f1b0b8c804f16b41d003f
7	0x0000000000000000000000000000000000000000	0x3b150851de69e672ec79a60a3df4663985496e14	478.68	12588137.72	3913144	78	0xd13f01385b2df8b30b17472addcce102039fd68405448e9037cf6b582ac0ae4b
8	0x0000000000000000000000000000000000000000	0x03474b39c921adbfaa80aad93a3069b5cd2f7958	454.746	12588592.466	3913146	0	0x5669843d5f32d5c621c91dad7e1992ab08836acb797fad67d7c413371c4c713d
9	0x0000000000000000000000000000000000000000	0x9db5b9e37d8e8827f5f49839821cb16db555d5f6	1005.228	12589597.694	3913146	8	0x8489065d86f1ae84ba26cc5c1387176e3fc78207857801004ed680c0d9b013ad
10	0x0000000000000000000000000000000000000000	0xc5cc4644c3b9ccca30c3e9a2d21651b795a96a89	1436.04	12591033.734	3913147	7	0x1d4464d94dbbb67532314819f52ffe80dd4bb10e36a2fb210384c1bb351daf5c
11	0x0000000000000000000000000000000000000000	0x83df74e7114079b98e69089edcdc8de377fb7cb0	47.868	12591081.602	3913147	11	0xb317ad5181c525990dec1d6eacdf776aaf053f81723222da86f44f5d5f61ebf2
12	0x0000000000000000000000000000000000000000	0xa81b019fd55ce3a676c4dfa1ae8a1ed9f48ed675	1292.436	12592374.038	3913147	31	0xc5844863c0a9cd07c3fed820ad4b03f7edf091b4e38d65f2f8a42df3b7a6f20e
13	0x0000000000000000000000000000000000000000	0xbc7a323e87f2820ac55d15c59db31edbdd176da6	957.36	12593331.398	3913148	1	0x7ac3c2d438ddd57495ec9694814a7a75bc5f1409f097c4f8edd90ffef1a10b25
14	0x0000000000000000000000000000000000000000	0x7b5e7fa8e19db6f3488d064c5f0ae519f439a643	191472	12784803.398	3913148	2	0x7ec728913435909a164f463dead505ea96bf59d25db1df4cb1fdd77b863e9785
15	0x0000000000000000000000000000000000000000	0x93750ddf10aee0f883cec77769606a6bf97efe70	718.02	12785521.418	3913148	3	0x8091a201c9da5a98c16f4b414f83eb932aba71661bd3bab0a420774e878b711f
16	0x0000000000000000000000000000000000000000	0x7e0e15ed146d0ae84d7779f82b650523d5c4ac01	142.763416088209497283	12785664.181416088209497283	3913148	4	0x88f48adc1aed89c459831ddf7585a1ca83e2f53e4ecaf13ef582a82700df3151
17	0x0000000000000000000000000000000000000000	0x25352537c8f887eb55ea0d9dfe4b888dff494f7d	1436.04	12787100.221416088209497283	3913149	4	0x066978f035bb97e488fc49e52d23f55e4690f089a7dc4bb1b6ad3e81b5a499d4
18	0x0000000000000000000000000000000000000000	0x5075a11da5604882c6d5d332bde32c29572a7854	143.604	12787243.825416088209497283	3913149	5	0x31b483bd3824dcdfaee1c7d7fe84ed07a8b04f867d7cb0e5ef4f3024521f551a
19	0x0000000000000000000000000000000000000000	0x8e72780406cb9b992b7bc8ff0308dc63510f10a1	478.68	12787722.505416088209497283	3913149	6	0x4d27102ec626993df662c0bf5a6f82a72e573531784422af80ef3beb7aa71ccc
20	0x0000000000000000000000000000000000000000	0x3fbcc04b418172b9803446b5a0fdced18903d48b	2393.4	12790115.905416088209497283	3913149	8	0xeb8a576f5cd9df3c9d48d0f606ba98325819ebe778f3cbbb8d9e0714b1d8c937
21	0x0000000000000000000000000000000000000000	0x83bad39f067ef72e354f2ea9d318eaad381a7f15	478.68	12790594.585416088209497283	3913149	13	0x962d8c4eccb7badbd33f71a4929f91431e219fad6a5f22f6177a18ba304e9563
22	0x0000000000000000000000000000000000000000	0xfc3c8111c7947e07a45b6c8d3fa4d60e3c2acb6a	7180.2	12797774.785416088209497283	3913149	14	0xfcea395abc7d2510ba20b8155ee73655fe2b930a08bd14a4cf41112587bac7af
23	0x0000000000000000000000000000000000000000	0x38294068f8958e0aa02588f7b878b38bb31b49af	71.802	12797846.587416088209497283	3913149	30	0x7244ad2e2f6d7dfeebf6dd289689567549679b07c44f4b7d6c3108e6a6c1ed24
24	0x0000000000000000000000000000000000000000	0x870b140e7de192dc1538a33d0c359b70ff2c3292	4786.8	12802633.387416088209497283	3913150	1	0x76d2318442d78e80441ea697134c12ae9189a60e732dc9ce4bc44053dba62777
25	0x0000000000000000000000000000000000000000	0x62895b65f36bddf1373b363dbd7f7696e0fd2ced	14360.4	12816993.787416088209497283	3913150	2	0x1ef61d15adf3c5e5fb75f71457348ed6e8a7dd6e38c8fb4e7a4fa7cf600ec5f4
